1- 1    Breakaway
1- 2    Force of Life
1- 3    Collision Course
1- 4    War Games
1- 5    Death's Other Dominion
1- 6    Voyager's Return
1- 7    Alpha Child
1- 8    Dragon's Domain
1- 9    Mission of the Darians
1-10    Black Sun
1-11    Guardian of Piri
1-12    End of Eternity
1-13    Matter of Life and Death
1-14    Earthbound
1-15    The Full Circle
1-16    Another Time, Another Place
1-17    The Infernal Machine
1-18    Ring Around the Moon
1-19    Missing Link
1-20    The Last Sunset
1-21    Space Brain
1-22    The Troubled Spirit
1-23    The Testament of Arkadia
1-24    The Last Enemy
2- 1    The Metamorph
2- 2    The Exiles
2- 3    Journey to Where
2- 4    One Moment of Humanity
2- 5    Brian the Brain
2- 6    New Adam, New Eve
2- 7    The Mark of Archanon
2- 8    The Rules of Luton
2- 9    All That Glisters
2-10    The Taybor
2-11    Seed of Destruction
2-12    The AB Chrysalis
2-13    Catacombs of the Moon
2-14    Space Warp
2-15    A Matter of Balance
2-16    The Beta Cloud
2-17    The Lambda Factor
2-18    The Bringers of Wonder (1)
2-19    The Bringers of Wonder (2)
2-20    The Seance Spectre
2-21    Dorzak
2-22    Devil's Planet
2-23    The Immunity Syndrome
2-24    The Dorcons
